login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
pakerfeldt,pakerfeldt/node-red-contrib-fermentation-controller,2024-09-15T12:16:43Z,0,0,JavaScript,true,true,MIT License
NickolajA,NickolajA/ConfigMgrPrerequisitesTool,2017-05-22T22:57:39Z,29,29,C#,true,false,
Speedi13,Speedi13/ROP-COMPILER,2019-08-18T14:48:36Z,555,555,C++,true,true,
northvolt,northvolt/oapi-codegen,2024-09-27T07:18:45Z,0,0,Go,true,true,Apache License 2.0
soulgalore,soulgalore/webpagereplay-builder,2018-02-14T21:27:56Z,1,1,Go,true,true,Other
benjdlambert,benjdlambert/artwork,2023-10-04T16:59:59Z,0,0,,true,false,Other
khromov,khromov/hydration-markers-sveltekit-repro,2024-10-31T16:30:41Z,0,0,Svelte,true,true,
hraberg,hraberg/enumerable,2010-03-30T21:22:31Z,59,59,Java,true,true,
mehdy,mehdy/keepalived-exporter,2020-01-25T15:21:06Z,123,123,Go,true,true,GNU General Public License v3.0
koreyspace,koreyspace/generative-ai-for-beginners,2023-10-27T13:36:40Z,2,2,Jupyter Notebook,true,false,MIT License
magiconair,magiconair/supervisord,2024-10-30T06:38:56Z,0,0,Go,true,true,MIT License
ftrvxmtrx,ftrvxmtrx/scare,2023-09-12T14:19:36Z,0,0,Python,true,true,GNU General Public License v2.0
diogotcorreia,diogotcorreia/dotfiles,2021-01-23T22:24:23Z,17,17,Nix,false,false,The Unlicense
kaaes,kaaes/albums-availability,2015-01-11T23:48:55Z,87,87,JavaScript,true,true,MIT License
frozzare,frozzare/dotfiles,2015-02-21T20:17:22Z,4,4,Shell,true,false,MIT License
rollbear,rollbear/ci_compilers,2022-09-24T16:35:07Z,2,2,Shell,true,true,Boost Software License 1.0
andoma,andoma/mios,2019-02-02T16:24:21Z,3,3,C,true,true,MIT License
oeway,oeway/hypha-rpc,2024-07-18T21:50:48Z,3,3,Python,true,true,MIT License
wictorwilen,wictorwilen/config,2024-08-18T20:39:56Z,0,0,,true,true,MIT License
NamitaMalik,NamitaMalik/reactive-forms-with-observables,2024-02-23T21:44:29Z,0,0,TypeScript,true,true,
ChocoChipset,ChocoChipset/astra,2024-05-14T07:50:06Z,0,0,,true,false,MIT License
rehrumesh,rehrumesh/type-transformations-workshop,2024-01-02T20:28:51Z,0,0,,true,true,
samuell,samuell/SKESA,2024-10-11T03:40:32Z,0,0,,true,true,Other
maxulysse,maxulysse/nf-core_riboseq,2023-12-06T15:30:21Z,0,0,,true,false,MIT License
bluecmd,bluecmd/huawei-hdx-to-html,2024-10-16T12:48:09Z,0,0,Python,true,true,
Ali-Razmjoo,Ali-Razmjoo/keycloak,2024-08-24T12:13:37Z,0,0,,true,false,Apache License 2.0
stakater,stakater/publications,2024-10-18T09:45:23Z,0,0,,true,true,
kabirbaidhya,kabirbaidhya/keycode-js,2016-04-04T17:08:47Z,112,112,TypeScript,false,false,MIT License
marcusoftnet,marcusoftnet/dotfiles,2017-05-10T12:15:32Z,3,3,Shell,true,false,MIT License
JensRantil,JensRantil/jensrantil.github.io,2013-05-14T20:55:55Z,2,2,Shell,true,false,
hamidreza-s,hamidreza-s/hamidreza-s.github.io,2013-12-16T14:15:07Z,1,1,CSS,true,true,
royshouvik,royshouvik/student0,2023-07-24T07:23:20Z,0,0,,true,true,
Kimtaro,Kimtaro/ve,2011-01-07T09:10:14Z,216,216,Ruby,true,true,MIT License
camiloribeiro,camiloribeiro/dotfiles,2016-08-25T12:08:50Z,0,0,Vim script,true,true,
jmpas,jmpas/29k,2023-06-12T07:53:10Z,0,0,,true,false,Creative Commons Zero v1.0 Universal
kopiro,kopiro/rome-coding-course,2024-10-07T08:03:08Z,0,0,HTML,true,true,
wille,wille/cookie-session,2024-10-24T19:32:53Z,0,0,JavaScript,true,false,MIT License
thelinmichael,thelinmichael/spotify-web-api-node,2014-05-26T22:36:35Z,3110,3110,JavaScript,true,true,MIT License
simeg,simeg/mmini,2020-07-09T06:41:14Z,1,1,Ruby,false,false,MIT License
happi,happi/theBeamBook,2017-03-23T18:25:31Z,3117,3117,Erlang,true,true,Creative Commons Attribution 4.0 International
kesla,kesla/io.js,2015-07-04T19:34:39Z,0,0,JavaScript,true,true,Other
renatoathaydes,renatoathaydes/dartle,2019-09-06T22:05:09Z,14,14,Dart,true,true,Apache License 2.0
anderseknert,anderseknert/anderseknert.github.io,2019-11-10T19:59:43Z,0,0,HTML,true,true,Apache License 2.0
iKenndac,iKenndac/Recap,2024-10-20T15:58:17Z,0,0,Swift,true,true,MIT License
Wumpf,Wumpf/rerun,2024-08-16T11:02:54Z,0,0,,true,false,Apache License 2.0
fabianperez,fabianperez/buildpack-sentry-sourcemaps,2022-01-18T14:20:19Z,0,0,,true,true,MIT License
Nilsen84,Nilsen84/vulkan-snake,2024-05-10T14:23:27Z,1,1,C++,true,true,
eliassjogreen,eliassjogreen/eliassjogreen,2020-07-30T13:08:38Z,2,2,,true,true,MIT License
AhmedAbdulrahman,AhmedAbdulrahman/dev-finder,2024-03-20T12:13:42Z,0,0,,true,true,MIT License
5monkeys,5monkeys/djedi-cms,2013-09-17T12:01:41Z,83,83,CSS,true,true,"BSD 3-Clause ""New"" or ""Revised"" License"
bhassani,bhassani/ChatGPTsnippets,2023-11-29T10:19:48Z,0,0,C,true,true,
ledongthuc,ledongthuc/monorepolabeling,2024-09-04T02:43:10Z,0,0,JavaScript,true,true,
postmodernistx,postmodernistx/configs,2021-09-19T15:27:15Z,11,11,JavaScript,true,true,
elitan,elitan/cf-vite-test,2024-10-12T18:16:25Z,0,0,TypeScript,true,true,
zth,zth/rescript-relay,2019-07-24T07:12:07Z,339,339,ReScript,true,true,
bicycle1885,bicycle1885/Zarr.jl,2024-08-21T22:27:35Z,0,0,,true,true,Other
Temaran,Temaran/UnrealEngineShaderPluginDemo,2015-02-08T09:56:02Z,898,898,C++,true,true,MIT License
tonythomas01,tonythomas01/advent-of-code-2023,2023-12-28T16:06:17Z,0,0,Python,true,true,
dflemstr,dflemstr/Positron,2024-09-06T14:39:58Z,0,0,,true,false,
bergquist,bergquist/grafana,2014-01-20T08:49:55Z,2,2,TypeScript,true,true,GNU Affero General Public License v3.0
richtr,richtr/NoSleep.js,2015-04-21T08:10:40Z,2232,2232,JavaScript,false,false,MIT License
seriyps,seriyps/epgsql,2014-03-12T20:27:00Z,1,1,Erlang,true,true,"BSD 3-Clause ""New"" or ""Revised"" License"
hsjoberg,hsjoberg/blixt-wallet,2019-07-19T09:20:57Z,387,387,TypeScript,true,false,MIT License
lastguest,lastguest/ESO-InkTracker,2024-07-08T09:44:56Z,0,0,Lua,true,true,MIT License
luna-duclos,luna-duclos/tla-waitlist,2022-12-17T20:07:09Z,1,1,JavaScript,true,true,MIT License
rasmusbrandt,rasmusbrandt/webrtc-pc,2020-03-02T10:06:56Z,0,0,HTML,true,true,Other
Jiwan,Jiwan/dense_hash_map,2019-11-09T22:32:15Z,45,45,C++,true,true,MIT License
psyeugenic,psyeugenic/dsl,2021-02-19T09:49:49Z,0,0,,true,true,Apache License 2.0
henninghall,henninghall/react-native,2024-10-08T09:46:20Z,0,0,,true,true,MIT License
myshov,myshov/mapgl-gltf,2023-06-30T12:19:51Z,0,0,,true,true,"BSD 2-Clause ""Simplified"" License"
jto,jto/beam,2018-10-24T13:08:13Z,0,0,Java,true,false,Other
ranveeraggarwal,ranveeraggarwal/aoc-2023,2023-12-03T14:42:32Z,0,0,Python,true,true,
robertoaloi,robertoaloi/eep,2019-10-28T10:55:16Z,0,0,Perl,true,true,
simonlindholm,simonlindholm/decomp-permuter,2019-02-26T22:33:20Z,124,124,Python,true,true,MIT License
zegl,zegl/kube-score,2018-09-16T13:19:19Z,2771,2771,Go,false,false,MIT License
jacksonfdam,jacksonfdam/Animite,2024-06-25T06:09:15Z,0,0,,true,true,Apache License 2.0
pliden,pliden/patchkeeper,2018-09-29T09:03:17Z,0,0,C++,false,false,
supercurio,supercurio/ollama,2024-07-13T20:00:21Z,0,0,Go,true,false,MIT License
blommegard,blommegard/furulidbygg,2024-01-19T15:43:20Z,0,0,HTML,true,true,
andras-nemes,andras-nemes/aib-hmwrk-upd,2024-10-31T08:49:50Z,0,0,Vue,true,true,Other
niklasfrykholm,niklasfrykholm/nflibs,2015-02-20T21:17:05Z,135,135,C,true,true,
Eyevinn,Eyevinn/orchestration-gui,2024-08-21T14:39:23Z,0,0,TypeScript,true,false,Apache License 2.0
72lions,72lions/72lions,2020-07-28T10:05:52Z,0,0,,true,true,
jkotlinski,jkotlinski/lsdpatch,2015-03-14T11:27:00Z,173,173,Java,true,false,Other
Jake-Shadle,Jake-Shadle/xdp,2024-10-23T08:21:24Z,0,0,Rust,true,true,
daniel-lundin,daniel-lundin/kuta,2016-12-10T22:15:28Z,12,12,JavaScript,true,true,
elk-audio,elk-audio/twine,2019-12-06T14:41:10Z,5,5,C++,true,true,GNU General Public License v3.0
mropert,mropert/enigma,2022-08-26T07:37:27Z,5,5,C++,true,true,
nadam,nadam/userinfobot,2016-05-07T21:24:36Z,323,323,Java,true,true,Apache License 2.0
arthurdenner,arthurdenner/react-semantic-ui-datepickers,2018-04-06T20:53:28Z,95,95,TypeScript,true,true,MIT License
ezeoleaf,ezeoleaf/ezeoleaf,2020-12-19T13:00:40Z,1,1,,true,true,
ptz0n,ptz0n/ptz0n.github.io,2012-07-22T00:38:53Z,7,7,Makefile,false,false,
Nevon,Nevon/pamac,2024-09-30T12:14:04Z,0,0,,true,false,GNU General Public License v3.0
pythops,pythops/tmux-linux-binary,2021-01-15T20:50:52Z,18,18,Dockerfile,false,false,
algomaster99,algomaster99/tbd-devops-snyk,2024-10-30T10:05:02Z,0,0,,true,true,
GeneKao,GeneKao/geneatcg,2019-06-30T14:00:37Z,1,1,CSS,true,true,MIT License
charliejeppsson,charliejeppsson/swapi-searcher,2019-11-18T20:14:37Z,0,0,Ruby,true,true,
op,op/ClickHouse,2024-10-24T12:57:35Z,0,0,,true,true,Apache License 2.0
freben,freben/platt-policy-template,2024-10-02T13:24:07Z,0,0,,true,true,Apache License 2.0
zimme,zimme/meteor-collection-softremovable,2014-11-11T01:33:54Z,29,29,CoffeeScript,true,true,MIT License
renard314,renard314/lottie-android,2022-04-06T13:00:14Z,0,0,,true,false,Apache License 2.0
hussius,hussius/deeplearning-biology,2016-06-01T20:44:31Z,2013,2013,,true,true,
andreineculau,andreineculau/cv,2013-05-05T09:27:02Z,2,2,HTML,true,false,
possan,possan/teleguide,2024-09-21T10:06:20Z,1,1,Python,true,true,
AndersAbel,AndersAbel/AspNetCoreAuth,2024-06-05T10:02:53Z,5,5,C#,true,true,MIT License
maciekish,maciekish/lcdgfx,2023-12-04T12:01:11Z,0,0,C++,true,true,MIT License
Monereum,Monereum/Monereum,2019-08-23T08:13:31Z,29,29,Go,true,true,GNU Lesser General Public License v3.0
ssheikholeslami,ssheikholeslami/dnn-weight-initialization-from-hp-tuning,2024-09-27T11:40:04Z,0,0,,true,true,
dvdplm,dvdplm/synedrion,2024-05-22T11:23:10Z,0,0,,true,true,GNU Affero General Public License v3.0
lindell,lindell/aoc-loader,2017-12-05T11:39:48Z,3,3,TypeScript,false,false,
jiwidi,jiwidi/jiwidi.github.io_oldv2,2021-04-19T09:27:41Z,0,0,JavaScript,true,true,
mayojava,mayojava/Real-Estate-DAPP,2020-04-14T06:10:07Z,0,0,JavaScript,true,true,
camilaibs,camilaibs/backstage-latest,2024-06-28T13:09:04Z,0,0,TypeScript,true,false,
etnt,etnt/mfl,2024-10-25T09:09:19Z,1,1,Python,true,true,Mozilla Public License 2.0
birkjernstrom,birkjernstrom/nixos-config,2024-06-08T18:43:00Z,0,0,Lua,true,false,
FabrizioBrancati,FabrizioBrancati/Queuer,2017-07-20T13:57:48Z,1087,1087,Swift,false,false,MIT License
gdomiciano,gdomiciano/todo-app,2016-09-17T17:22:42Z,0,0,Vue,true,true,
JCash,JCash/csharpextension,2023-12-18T08:43:26Z,0,0,Shell,true,true,
mahmudalhakim,mahmudalhakim/BubblePOP,2024-05-31T07:29:37Z,0,0,,true,true,
daniellee,daniellee/agones,2024-03-28T18:34:13Z,0,0,,true,false,Apache License 2.0
davidsjoberg,davidsjoberg/ggsankey,2021-03-25T21:11:10Z,267,267,R,true,true,Other
jishi,jishi/jishi,2021-02-04T10:55:57Z,1,1,,true,true,
pocketjoso,pocketjoso/penthouse,2014-06-04T07:48:18Z,2638,2638,HTML,true,true,MIT License
mhagander,mhagander/bgw_replstatus,2017-02-26T14:33:27Z,35,35,C,true,true,Other
IuryAlves,IuryAlves/annyang,2013-09-15T21:09:46Z,1,1,JavaScript,true,true,MIT License
alvarlagerlof,alvarlagerlof/portfolio,2020-10-06T21:26:07Z,20,20,TypeScript,true,true,MIT License
Kerem1989,Kerem1989/group-4-recipe-react,2024-09-25T09:45:21Z,0,0,JavaScript,true,true,
